symbol	all	control	tgf	tnf	mix
TSPAN6	9	9	1	6	9
DPM1	4	4	3	4	6
SCYL3	6	6	1	7	9
CFH	7	5	3	8	4
STPG1	6	6	6	7	9
LAS1L	7	2	5	4	7
SEMA3F	5	9	5	5	5
ANKIB1	8	3	6	8	2
RAD52	6	6	6	7	9
LAP3	8	4	2	1	2
CD99	7	1	3	4	4
HS3ST1	6	9	1	7	9
LASP1	4	1	3	4	6
CYP26B1	7	9	4	6	4
ICA1	9	7	6	7	9
DBNDD1	7	1	2	4	4
CFLAR	8	3	2	9	7
TFPI	7	5	5	4	5
RBM5	7	1	3	6	7
SLC7A2	2	2	2	2	8
POLDIP2	7	5	3	4	7
PLXND1	7	9	9	4	4
AK2	4	1	9	6	6
FKBP4	4	1	3	4	7
KDM1A	7	1	3	4	7
RBM6	9	7	6	7	7
HSPB6	7	1	5	5	4
NDUFAB1	4	4	3	4	6
PDK4	7	5	9	6	4
SLC25A13	4	4	9	6	6
ST7	4	2	9	4	2
CDC27	4	4	9	4	7
SLC4A1	6	9	1	7	9
HCCS	4	4	3	4	6
SKAP2	9	9	6	8	9
SLC25A5	5	4	3	5	4
HOXA11	3	1	8	6	6
DHX33	6	6	1	7	9
THSD7A	7	9	2	6	4
ACSM3	3	9	8	6	2
FAM214B	4	2	9	6	2
PRKAR2B	5	5	5	4	5
WDR54	7	7	5	9	7
FBXL3	4	4	3	8	7
ITGA3	9	9	8	6	2
LAMP2	4	4	6	8	6
GDE1	6	7	1	7	9
REX1BD	6	6	6	7	2
TMEM98	7	1	3	4	6
TMEM132A	8	3	2	8	2
CX3CL1	2	7	6	2	8
SPATA20	9	9	9	6	7
DLX6	6	6	6	7	9
MAP3K9	9	7	6	1	9
RALA	8	3	4	1	9
ETV1	4	4	3	6	7
AGK	4	4	4	4	6
GGCT	4	4	4	4	4
ARHGAP44	9	7	9	7	9
SCIN	6	6	1	7	9
ARSD	9	9	4	8	7
CCDC124	9	7	6	7	9
PAFAH1B1	4	3	4	6	2
KIAA0100	4	1	3	4	7
GAS7	9	7	6	7	9
PAX6	9	7	4	6	9
TSR3	7	1	5	4	6
TEAD3	6	7	1	7	9
SELE	2	2	2	2	8
DNAJC11	9	1	3	4	9
MYLIP	7	9	4	6	4
PSMB1	4	4	3	4	6
NADK	7	1	5	4	4
CYTH3	4	1	9	6	9
SYPL1	4	4	3	4	4
AASS	9	7	6	7	7
MGST1	5	4	2	4	5
NFIX	9	7	9	8	7
ST3GAL1	7	5	2	4	5
IL32	8	2	2	1	1
PKD1	9	7	1	6	9
RHOBTB2	6	6	1	7	2
CSDE1	7	1	6	4	7
UBE3C	4	4	3	4	6
REV3L	7	4	9	6	4
FAM76A	6	6	6	7	9
VTA1	4	4	4	6	6
ETV7	8	3	6	1	8
SPRTN	4	4	9	6	7
STARD3NL	4	4	4	6	6
CD9	4	4	4	8	6
NCAPD2	5	8	5	5	4
SEMA3G	3	9	7	6	2
NISCH	9	9	8	6	9
STAB1	9	9	8	6	9
