"";"geneID";"cluster"
"1";"FABP4";77
"2";"A2M";77
"3";"CEMIP2";77
"4";"INSR";77
"5";"MAFB";77
"6";"FABP4";77
"7";"SLC35F2";3
"8";"AAK1";3
"9";"ABLIM1";3
"10";"ANXA3";3
"11";"AQP1";3
"12";"BMPR2";3
"13";"BMX";3
"14";"CXCL2";3
"15";"DPY19L1";3
"16";"EDN1";3
"17";"ENG";3
"18";"ERG";3
"19";"FBXO38";3
"20";"FKBP11";3
"21";"FLOT2";3
"22";"GJA5";3
"23";"HERC2P2";3
"24";"HRCT1";3
"25";"HSPG2";3
"26";"IER3";3
"27";"IL6ST";3
"28";"ITPR2";3
"29";"KLHL13";3
"30";"LMO2";3
"31";"MECOM";3
"32";"MRTFB";3
"33";"MTUS1";3
"34";"NASP";3
"35";"PDLIM4";3
"36";"PKHD1L1";3
"37";"PLXNA2";3
"38";"PROCR";3
"39";"PVR";3
"40";"RANGAP1";3
"41";"RUNX1T1";3
"42";"SBNO2";3
"43";"SEC14L1";3
"44";"SELP";3
"45";"SLC20A1";3
"46";"SRGN";3
"47";"TBX1";3
"48";"TMEM87B";3
"49";"TPT1";3
"50";"TULP4";3
"51";"WARS1";3
"52";"WSB1";3
"53";"ZFP36L2";3
"54";"AFAP1L2";3
"55";"ASS1";3
"56";"BMP6";3
"57";"CMAHP";3
"58";"CRTAC1";3
"59";"CUBN";3
"60";"GJA1";3
"61";"GJA4";3
"62";"GJC2";3
"63";"HIP1R";3
"64";"LRATD2";3
"65";"PLXNA4";3
"66";"POU4F1";3
"67";"SLC35F2";3
"68";"TGFB1I1";10
"69";"ABCA9";10
"70";"CYB5R3";10
"71";"FHL1";10
"72";"G0S2";10
"73";"GPX3";10
"74";"LTBP1";10
"75";"MAP1B";10
"76";"NT5DC2";10
"77";"PALLD";10
"78";"PDGFA";10
"79";"PDGFRA";10
"80";"PRUNE2";10
"81";"SGCB";10
"82";"SOD3";10
"83";"SYNPO2";10
"84";"TAGLN";10
"85";"TMEM159";10
"86";"TMEM30B";10
"87";"ZNF503";10
"88";"ZNF704";10
"89";"BTF3P11";10
"90";"PHLDA2";10
"91";"TGFB1I1";10
"92";"BAIAP2";57
"93";"ABI3";57
"94";"LARP4";57
"95";"MGAT4A";57
"96";"PRKCH";57
"97";"ST6GALNAC3";57
"98";"SYNE2";57
"99";"BAIAP2";57
"100";"RRAS2";11
"101";"ABI3BP";11
"102";"CYP4X1";11
"103";"DCN";11
"104";"ELN";11
"105";"FAT4";11
"106";"FBLIM1";11
"107";"HMCN1";11
"108";"NCAM1";11
"109";"PDE3A";11
"110";"PTGIS";11
"111";"SULF1";11
"112";"C14orf132";11
"113";"CCN2";11
"114";"CDH11";11
"115";"CTSZ";11
"116";"HEY2";11
"117";"KCNK15";11
"118";"PCDH10";11
"119";"PDGFRL";11
"120";"RRAS2";11
"121";"TCTEX1D1";9
"122";"ACKR1";9
"123";"DIPK2B";9
"124";"EHD4";9
"125";"ERMP1";9
"126";"FGD6";9
"127";"FSCN1";9
"128";"HAPLN3";9
"129";"HLA-A";9
"130";"IFI16";9
"131";"ITGA2";9
"132";"MARCKSL1";9
"133";"MFAP3";9
"134";"PPP2R5A";9
"135";"PRCP";9
"136";"RAI14";9
"137";"RFLNB";9
"138";"TGFBR3";9
"139";"TNK2";9
"140";"C9orf40";9
"141";"DYSF";9
"142";"PDE2A";9
"143";"TAF1C";9
"144";"TOP1MT";9
"145";"TCTEX1D1";9
"146";"PDPN";31
"147";"ACKR3";31
"148";"ARFGEF3";31
"149";"CAPZA2";31
"150";"CYP1B1";31
"151";"FNIP2";31
"152";"TOX";31
"153";"DHH";31
"154";"MAMLD1";31
"155";"TNKS1BP1";31
"156";"PDPN";31
"157";"ZNF521";78
"158";"ACSL5";78
"159";"CLEC14A";78
"160";"CLIC2";78
"161";"CMIP";78
"162";"CPNE2";78
"163";"FKBP1A";78
"164";"ITGA5";78
"165";"MFNG";78
"166";"MMRN2";78
"167";"PALMD";78
"168";"PDLIM1";78
"169";"PECAM1";78
"170";"RAB11A";78
"171";"ROBO4";78
"172";"STOM";78
"173";"TEK";78
"174";"TPM3";78
"175";"TSPAN18";78
"176";"VWF";78
"177";"CDH5";78
"178";"CPLX1";78
"179";"HSPA12B";78
"180";"ICA1";78
"181";"RAMP2";78
"182";"RUNDC3B";78
"183";"ZNF521";78
"184";"WTIP";21
"185";"ACTC1";21
"186";"ADGRL3";21
"187";"CDKN2C";21
"188";"GRIA1";21
"189";"LMO7";21
"190";"NAV2";21
"191";"PMEPA1";21
"192";"ZBTB24";21
"193";"MUSTN1";21
"194";"SMARCD3";21
"195";"TSPYL5";21
"196";"UNC5B";21
"197";"WFDC1";21
"198";"WTIP";21
"199";"PPP1R14A";64
"200";"ACTN4";64
"201";"FAT3";64
"202";"FHL2";64
"203";"ISYNA1";64
"204";"MYH10";64
"205";"PPP1R14A";64
"206";"P3H2";23
"207";"ADA";23
"208";"CNIH1";23
"209";"COTL1";23
"210";"HSD3B7";23
"211";"MAGI1";23
"212";"NELL2";23
"213";"PITPNC1";23
"214";"RASA4";23
"215";"OAF";23
"216";"SCUBE1";23
"217";"SNAP25";23
"218";"SPHK1";23
"219";"SPP1";23
"220";"P3H2";23
"221";"SH3BGRL2";53
"222";"ADAMTS18";53
"223";"CCDC85C";53
"224";"CFL1";53
"225";"GMFG";53
"226";"SLC2A3";53
"227";"KDR";53
"228";"SH3BGRL2";53
"229";"APCDD1";14
"230";"ADAMTS2";14
"231";"ANPEP";14
"232";"COLGALT2";14
"233";"CPQ";14
"234";"FAM114A1";14
"235";"GOLM2";14
"236";"PLXDC2";14
"237";"PPP1CB";14
"238";"PRNP";14
"239";"SEC31A";14
"240";"VCAN";14
"241";"YIF1A";14
"242";"CRLF1";14
"243";"F10";14
"244";"PRDM6";14
"245";"PRRX1";14
"246";"SLC17A5";14
"247";"APCDD1";14
"248";"STRA6";2
"249";"ADCY5";2
"250";"ANK2";2
"251";"ATP1B1";2
"252";"BMPR1B";2
"253";"CNN1";2
"254";"COL5A3";2
"255";"CXCL12";2
"256";"EBF1";2
"257";"EDNRA";2
"258";"EMC10";2
"259";"ETV1";2
"260";"FAT1";2
"261";"HAND2";2
"262";"HSPB7";2
"263";"IFITM10";2
"264";"ITGA11";2
"265";"LZTS1";2
"266";"NCALD";2
"267";"NUMBL";2
"268";"PHGDH";2
"269";"PIK3R1";2
"270";"PLN";2
"271";"PLXNB2";2
"272";"RAPSN";2
"273";"RUNX1";2
"274";"S1PR2";2
"275";"SGCA";2
"276";"ST8SIA1";2
"277";"UACA";2
"278";"A1BG";2
"279";"AKR1C1";2
"280";"ANO1";2
"281";"ARHGEF26";2
"282";"C1QTNF7";2
"283";"CHRD";2
"284";"CLEC11A";2
"285";"CNTN1";2
"286";"COX4I2";2
"287";"DACT1";2
"288";"EFS";2
"289";"FGF1";2
"290";"FMO3";2
"291";"FOXS1";2
"292";"GPC6";2
"293";"GSTM5";2
"294";"GUCY1A2";2
"295";"HAPLN1";2
"296";"IL17D";2
"297";"ITGA1";2
"298";"LPAR1";2
"299";"MKX";2
"300";"MRGPRF";2
"301";"NEO1";2
"302";"NGF";2
"303";"NGFR";2
"304";"NLGN4X";2
"305";"OLFM2";2
"306";"PDE1A";2
"307";"PODN";2
"308";"PRSS23";2
"309";"PTGFR";2
"310";"RAMP1";2
"311";"RASL12";2
"312";"RERG";2
"313";"RGS7BP";2
"314";"RIMS3";2
"315";"RNF150";2
"316";"SLC24A3";2
"317";"SUGCT";2
"318";"TBX2";2
"319";"TEAD3";2
"320";"TFPI2";2
"321";"TRL-AAG2-3";2
"322";"CSDC2";2
"323";"FAM180A";2
"324";"SCRG1";2
"325";"STRA6";2
"326";"TFF3";56
"327";"ADGRG1";56
"328";"ADGRL4";56
"329";"APP";56
"330";"ARHGAP23";56
"331";"CDC37";56
"332";"TNFRSF1A";56
"333";"EFNA1";56
"334";"GIMAP8";56
"335";"MYRIP";56
"336";"NOTCH1";56
"337";"NOTCH4";56
"338";"TFF3";56
"339";"DACT3";13
"340";"ADH1B";13
"341";"CAB39L";13
"342";"EFHD1";13
"343";"FAM3C";13
"344";"FHOD3";13
"345";"FZD2";13
"346";"GAL3ST4";13
"347";"GLIPR1";13
"348";"IFI27L2";13
"349";"ITIH4";13
"350";"KRT17";13
"351";"PPP1R3C";13
"352";"USP11";13
"353";"CCN3";13
"354";"CYS1";13
"355";"ECRG4";13
"356";"PAPPA";13
"357";"SERPINA3";13
"358";"DACT3";13
"359";"PGR";5
"360";"ADIRF";5
"361";"AEBP1";5
"362";"ANXA4";5
"363";"C12orf57";5
"364";"CAMK2N1";5
"365";"CD63";5
"366";"COL14A1";5
"367";"COL1A1";5
"368";"CRYAB";5
"369";"CST3";5
"370";"CTSD";5
"371";"DKK3";5
"372";"DSEL";5
"373";"FAS";5
"374";"GPNMB";5
"375";"ITGB1";5
"376";"KANK2";5
"377";"LAMB2";5
"378";"LUM";5
"379";"MXRA7";5
"380";"MYO1D";5
"381";"NOTCH2";5
"382";"RAB31";5
"383";"SDC2";5
"384";"SLC25A4";5
"385";"VKORC1";5
