"";"Term";"Overlap";"P.value";"Adjusted.P.value";"Old.P.value";"Old.Adjusted.P.value";"Odds.Ratio";"Combined.Score";"Genes";"condition";"k.means"
"1";"extracellular matrix organization (GO:0030198)";"12/229";1,11557366041405e-08;1,05756383007252e-05;0;0;10,2591079036606;187,857725436835;"COL1A1;COL18A1;MMP14;COL1A2;ITGA10;ELN;PECAM1;MMP19;LAMB1;F11R;NID1;FGF2";"control";1
"2";"platelet aggregation (GO:0070527)";"4/33";4,12758546108223e-05;0,0195647550855298;0;0;24,0205686630369;242,493234157031;"CSRP1;ACTB;ACTG1;FERMT3";"control";1
"3";"homotypic cell-cell adhesion (GO:0034109)";"4/38";7,27826506665659e-05;0,0229993176106348;0;0;20,4829721362229;195,162433349678;"CSRP1;ACTB;ACTG1;FERMT3";"control";1
"4";"negative regulation of binding (GO:0051100)";"5/82";0,000124688084678838;0,0295510760688845;0;0;11,3808757614067;102,310604906741;"JUN;NES;ACTB;MDFI;IFIT2";"control";1
"5";"Ras protein signal transduction (GO:0007265)";"7/223";0,000360710914050919;0,046657234287905;0;0;5,74165832499166;45,5166157714213;"JUN;COL1A2;PLK2;RHOJ;RAB7B;FGF2;RND3";"control";1
"6";"camera-type eye development (GO:0043010)";"3/24";0,000370148017155433;0,046657234287905;0;0;24,672049689441;194,9488549872;"ALDH1A3;EFEMP1;NES";"control";1
"7";"cell junction assembly (GO:0034329)";"4/59";0,000407955730289932;0,046657234287905;0;0;12,6488038277512;98,7157161053715;"PKP4;FLNC;ACTB;ACTG1";"control";1
"8";"embryonic camera-type eye development (GO:0031076)";"2/6";0,000509779676963799;0,046657234287905;0;0;85,6810344827586;649,593498858474;"ALDH1A3;NES";"control";1
"9";"leukocyte cell-cell adhesion (GO:0007159)";"3/27";0,000528070055761084;0,046657234287905;0;0;21,5847826086957;162,884847876559;"SELP;PECAM1;FERMT3";"control";1
"10";"regulation of cell migration (GO:0030334)";"8/316";0,000577821652029283;0,046657234287905;0;0;4,62195985832349;34,4624664584398;"BST2;COL1A1;MMP14;LMO4;LAMB1;RND3;CXCL16;FERMT3";"control";1
"11";"extracellular matrix organization (GO:0030198)";"9/229";2,20893477317883e-08;1,05750464745449e-05;0;0;16,1353636363636;284,436938804064;"POSTN;VCAM1;LOX;COL4A1;SERPINE1;COL6A1;PDGFB;PDGFA;ICAM1";"control";2
"12";"regulation of cell migration (GO:0030334)";"10/316";2,66373966613221e-08;1,05750464745449e-05;0;0;13,0952380952381;228,393389177024;"FLT1;MCTP1;JAG1;CSF1;SPHK1;SERPINE1;PDGFB;PDGFA;SLIT2;RHOB";"control";2
"13";"regulation of smooth muscle cell migration (GO:0014910)";"4/18";2,02598311154162e-07;5,36210196854682e-05;0;0;103,516883116883;1595,40640341909;"SERPINE1;PDGFB;PDGFA;SLIT2";"control";2
"14";"positive regulation of cellular metabolic process (GO:0031325)";"5/92";7,59380281284878e-06;0,00130220816781802;0;0;21,1302681992337;249,087364044523;"NFKBIA;CSF1;GADD45A;PDGFB;SELE";"control";2
"15";"regulation of cell proliferation (GO:0042127)";"11/740";9,13532066725302e-06;0,00130220816781802;0;0;6,03943758573388;70,077782187768;"ESM1;CDKN2B;FLT1;JAG1;CSF1;BHLHE40;PDGFB;PDGFA;ATF5;IL7R;JUNB";"control";2
"16";"negative regulation of cell motility (GO:2000146)";"5/97";9,84036398854928e-06;0,00130220816781802;0;0;19,9768518518519;230,313481724207;"MCTP1;JAG1;SERPINE1;SLIT2;RHOB";"control";2
"17";"positive regulation of vasculature development (GO:1904018)";"5/104";1,38227108135189e-05;0,00156789034084771;0;0;18,5578002244669;207,646893869752;"FLT1;SPHK1;SERPINE1;PDGFB;RHOB";"control";2
"18";"positive regulation of cellular process (GO:0048522)";"9/519";1,97279674716634e-05;0,00195800077156259;0;0;6,858;74,2959596197184;"ESM1;FLT1;CSF1;SPHK1;PDGFB;PDGFA;ACSL3;IL7R;JUNB";"control";2
"19";"negative regulation of cell migration (GO:0030336)";"5/121";2,8760304305283e-05;0,00253729795759941;0;0;15,8245530012771;165,4696670327;"MCTP1;JAG1;SERPINE1;SLIT2;RHOB";"control";2
"20";"platelet degranulation (GO:0002576)";"5/124";3,23547825580139e-05;0,0025689697351063;0;0;15,4232804232804;159,457420579913;"ACTN1;SERPINE1;PDGFB;PDGFA;TAGLN2";"control";2
"21";"regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239)";"5/27";7,15691011845261e-07;0,000660609697299451;0;0;36,6777531411678;518,990841869926;"IL1A;UNC5B;INHBA;HSPA1B;HSPA1A";"control";3
"22";"regulation of tumor necrosis factor-mediated signaling pathway (GO:0010803)";"6/56";1,5258460076361e-06;0,000660609697299451;0;0;19,4970491803279;261,123229866725;"GSTP1;TNFAIP3;F2RL1;TRAF1;HSPA1B;HSPA1A";"control";3
"23";"extracellular matrix organization (GO:0030198)";"10/229";2,22095050620186e-06;0,000660609697299451;0;0;7,60506152774553;98,9994610815701;"COL4A2;COL5A1;CTSK;COL5A2;MFAP2;TGFBI;ITGA5;LOXL1;CTSS;FBN1";"control";3
"24";"proteolysis involved in cellular protein catabolic process (GO:0051603)";"7/93";2,23745875461287e-06;0,000660609697299451;0;0;13,3098212569671;173,163034835771;"CTSK;TNFAIP3;PMAIP1;ISG15;CTSS;PSMB10;CTSB";"control";3
"25";"cytokine-mediated signaling pathway (GO:0019221)";"16/633";2,9303800990699e-06;0,000692155779400311;0;0;4,45820791849965;56,7992559420321;"CDKN1A;TNFSF15;RIPK2;TNFRSF9;TNFRSF11B;ISG15;IL2RG;PTGS2;SOD2;IFIT3;PSMB10;IL1A;FSCN1;ACKR3;LTB;XAF1";"control";3
"26";"negative regulation of cell proliferation (GO:0008285)";"12/363";3,82756150606844e-06;0,000753391689777805;0;0;5,75331564986737;71,7627322180964;"IL1A;CDKN1A;TES;GSTP1;NOX4;TNFAIP3;INHBA;TRIB1;SOD2;IFIT3;HSPA1B;HSPA1A";"control";3
"27";"eye morphogenesis (GO:0048592)";"4/20";7,16232311723557e-06;0,00120838622877932;0;0;40,0322580645161;474,249197720346;"COL5A1;COL5A2;MFAP2;FBN1";"control";3
"28";"negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)";"6/76";9,25524673057768e-06;0,00136630579860153;0;0;13,9124121779859;161,249308462659;"IL1A;UNC5B;GSTP1;TNFAIP3;HSPA1B;HSPA1A";"control";3
"29";"negative regulation of signal transduction in absence of ligand (GO:1901099)";"4/23";1,28970490989159e-05;0,00152314149858196;0;0;33,7062818336163;379,482579334609;"IL1A;UNC5B;HSPA1B;HSPA1A";"control";3
"30";"negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240)";"4/23";1,28970490989159e-05;0,00152314149858196;0;0;33,7062818336163;379,482579334609;"IL1A;UNC5B;HSPA1B;HSPA1A";"control";3
"31";"heterochromatin organization (GO:0070828)";"3/9";7,50392785388888e-06;0,00496281800331918;0;0;113,085227272727;1334,41517652854;"SNAI1;HMGA2;LOXL2";"control";4
"32";"glutathione biosynthetic process (GO:0006750)";"3/11";1,46429410137909e-05;0,00496281800331918;0;0;84,8053977272727;944,015710005004;"GGCT;MGST2;GCLM";"control";4
"33";"regulation of angiogenesis (GO:0045765)";"7/177";1,63490933089318e-05;0,00496281800331918;0;0;9,67598039215686;106,642251518035;"CDH5;IL6;SPARC;PGK1;HMOX1;HMGA2;TEK";"control";4
"34";"nonribosomal peptide biosynthetic process (GO:0019184)";"3/12";1,94596333929183e-05;0,00496281800331918;0;0;75,3787878787879;817,646399908272;"GGCT;MGST2;GCLM";"control";4
"35";"epithelial to mesenchymal transition (GO:0001837)";"4/37";2,36099809862949e-05;0,00496281800331918;0;0;27,6920933472658;295,027159816533;"BMP2;SNAI1;HMGA2;LOXL2";"control";4
"36";"positive regulation of epithelial to mesenchymal transition (GO:0010718)";"4/40";3,23317553272093e-05;0,00536053365789827;0;0;25,3805874840358;262,421586164892;"BMP2;SNAI1;LOXL2;EZH2";"control";4
"37";"mesenchymal cell differentiation (GO:0048762)";"4/41";3,57028883018915e-05;0,00536053365789827;0;0;24,6933830382106;252,867130965978;"BMP2;SNAI1;HMGA2;LOXL2";"control";4
"38";"glutathione metabolic process (GO:0006749)";"4/49";7,26516167177263e-05;0,00954460614629129;0;0;20,2952745849298;193,410616342532;"GGCT;MGST1;MGST2;GCLM";"control";4
"39";"cellular modified amino acid biosynthetic process (GO:0042398)";"3/24";0,000172086827797239;0,0196276643651704;0;0;32,2857142857143;279,836796491398;"GGCT;MGST2;GCLM";"control";4
"40";"regulation of proteolysis (GO:0030162)";"4/63";0,000194574843191546;0,0196276643651704;0;0;15,4685369179817;132,173909503041;"CSTB;PERP;PLAUR;PLAT";"control";4
"41";"generation of neurons (GO:0048699)";"6/130";4,58995687569945e-05;0,0207845273611593;0;0;10,289802289282;102,785399321442;"FZD1;ID2;DDIT4;ID1;ID3;IER2";"control";5
"42";"embryonic heart tube development (GO:0035050)";"3/16";6,28689798725174e-05;0,0207845273611593;0;0;47,8076923076923;462,513496089684;"CITED2;SOX18;HES1";"control";5
"43";"neuron differentiation (GO:0030182)";"6/139";6,66883230839335e-05;0,0207845273611593;0;0;9,58913412563667;92,2041339860507;"FZD1;ID2;DDIT4;ID1;ID3;IER2";"control";5
"44";"blood vessel endothelial cell migration (GO:0043534)";"3/18";9,09526819912411e-05;0,0212601894154526;0;0;41,4291666666667;385,505487048408;"SOX18;ID1;KDR";"control";5
"45";"regulation of DNA binding (GO:0051101)";"4/52";0,000127428701331914;0,023829167149068;0;0;17,4149122807018;156,176124498068;"ID2;ID1;ID3;HES1";"control";5
"46";"negative regulation of sprouting angiogenesis (GO:1903671)";"3/22";0,000169201133923753;0,0263671767031182;0;0;32,7006578947368;283,986326214594;"MMRN2;ADAMTS9;KLF2";"control";5
"47";"negative regulation of neuron differentiation (GO:0045665)";"4/64";0,000285796122014856;0,037319163492234;0;0;13,9235087719298;113,619059903712;"ID2;ID1;ID3;HES1";"control";5
"48";"negative regulation of angiogenesis (GO:0016525)";"4/69";0,000381580178837872;0,037319163492234;0;0;12,8492307692308;101,138731110344;"RGCC;NPR1;ADAMTS9;KLF2";"control";5
"49";"regulation of cell migration involved in sprouting angiogenesis (GO:0090049)";"3/30";0,000433448054421451;0,037319163492234;0;0;23,0023148148148;178,123913057528;"ANXA1;MMRN2;KDR";"control";5
"50";"negative regulation of endothelial cell proliferation (GO:0001937)";"3/30";0,000433448054421451;0,037319163492234;0;0;23,0023148148148;178,123913057528;"RGCC;CAV1;NR2F2";"control";5
"51";"extracellular matrix organization (GO:0030198)";"7/229";7,37770359428332e-07;0,00058482951603004;0;0;16,3739924134661;231,194767337438;"TGFB2;VCAN;FLRT2;MMP2;ADAM12;GAS6;GPM6B";"control";6
"52";"regulation of apoptotic process (GO:0042981)";"11/815";1,37122981484183e-06;0,00058482951603004;0;0;7,70635791630085;104,034310216758;"PDGFRA;HCK;TGFB2;SCIN;ANKRD1;FLNA;GAS6;SOX4;HSPA1B;BOK;HSPA1A";"control";6
"53";"regulation of cell proliferation (GO:0042127)";"10/740";4,46005299365869e-06;0,00126814173453029;0;0;7,52446183953033;92,7040027475812;"PDGFRA;HCK;TGFB2;SCIN;IRF1;SOX4;HSPA1B;TNFSF13B;BOK;HSPA1A";"control";6
"54";"positive regulation of fibroblast proliferation (GO:0048146)";"3/28";3,35218093971535e-05;0,00505127867399568;0;0;56,9428571428571;586,700154520796;"PDGFRA;S100A6;GAS6";"control";6
"55";"positive regulation of protein secretion (GO:0050714)";"4/82";3,44051175313377e-05;0,00505127867399568;0;0;24,8617886178862;255,512190418573;"TGFB2;CADM1;ANKRD1;SOX4";"control";6
"56";"positive regulation of myeloid cell differentiation (GO:0045639)";"3/29";3,73309484121466e-05;0,00505127867399568;0;0;54,75;558,213910290944;"SCIN;HSPA1B;HSPA1A";"control";6
"57";"positive regulation of cell proliferation (GO:0008284)";"7/424";4,1452462740879e-05;0,00505127867399568;0;0;8,63094787328032;87,0945779176803;"PDGFRA;HCK;TGFB2;S100A6;GAS6;SOX4;TNFSF13B";"control";6
"58";"positive regulation of cytokine-mediated signaling pathway (GO:0001961)";"3/33";5,53914574178414e-05;0,00524987924193541;0;0;47,4404761904762;464,968147853855;"GAS6;HSPA1B;HSPA1A";"control";6
"59";"platelet aggregation (GO:0070527)";"3/33";5,53914574178414e-05;0,00524987924193541;0;0;47,4404761904762;464,968147853855;"PDGFRA;FLNA;GAS6";"control";6
"60";"cytokine-mediated signaling pathway (GO:0019221)";"8/633";7,37463598346524e-05;0,00572485139562392;0;0;6,68713513513514;63,6272811467771;"HCK;FLRT2;GPR35;MMP2;IRF1;MX1;NCAM1;TNFSF13B";"control";6
"61";"regulation of bone remodeling (GO:0046850)";"3/12";2,0108782415341e-05;0,0150863737768019;0;0;74,5280898876404;805,973139703003;"GREM1;SFRP1;LEPR";"control";7
"62";"hemopoiesis (GO:0030097)";"5/76";2,63517445883003e-05;0,0150863737768019;0;0;16,0571474825967;169,306178919497;"SFRP1;TGFB1;KIT;RUNX3;FGFR2";"control";7
"63";"regulation of osteoblast proliferation (GO:0033688)";"3/16";5,05077309519173e-05;0,0192771173133151;0;0;51,5859982713915;510,360097414717;"GREM1;SFRP1;FGFR2";"control";7
"64";"regulation of bone mineralization (GO:0030500)";"4/50";8,21218413569863e-05;0,0235073770884373;0;0;19,6264822134387;184,632334548555;"GREM1;ECM1;TGFB1;ENPP1";"control";7
"65";"digestive system development (GO:0055123)";"3/22";0,000136146578111504;0,0253704839240938;0;0;35,2850384387936;314,09959557172;"KIT;PKD1;FGFR2";"control";7
"66";"cytokine-mediated signaling pathway (GO:0019221)";"11/633";0,000153925204931171;0,0253704839240938;0;0;4,21074987098567;36,9663573621023;"TGFB1;RSAD2;KIT;PTAFR;LEPR;IRF7;FN1;TNFRSF13C;IFI30;CSF2RA;CX3CL1";"control";7
"67";"inflammatory response (GO:0006954)";"7/252";0,000163462070170851;0,0253704839240938;0;0;6,60941176470588;57,6269957500396;"TGFB1;SLC11A1;KIT;CYBB;CXCR4;CYBA;CX3CL1";"control";7
"68";"regulation of cell differentiation (GO:0045595)";"5/121";0,000241035658722049;0,0253704839240938;0;0;9,80578676179152;81,6877506035259;"GREM1;TGFB1;LTBP4;RUNX3;FGFR2";"control";7
"69";"cellular response to cytokine stimulus (GO:0071345)";"9/456";0,00025078046777498;0,0253704839240938;0;0;4,72087005741085;39,1404156100576;"SFRP1;PTGIS;TGFB1;KIT;PTAFR;FN1;CXCR4;CSF2RA;CX3CL1";"control";7
"70";"platelet degranulation (GO:0002576)";"5/124";0,000270058490856001;0,0253704839240938;0;0;9,55713319810683;78,5297400766621;"LGALS3BP;ECM1;TGFB1;FN1;LHFPL2";"control";7
"71";"mitotic sister chromatid segregation (GO:0000070)";"15/82";5,76157927673677e-21;3,43966282821185e-18;0;0;63,4797441364606;2958,35129828615;"PLK1;NCAPG;CDCA8;KIF23;KIF22;SMC4;KNSTRN;NDC80;SMC2;CENPE;CCNB1;PSRC1;PRC1;NUSAP1;KIF2C";"control";8
"72";"mitotic spindle organization (GO:0007052)";"12/74";2,74540449097114e-16;8,19503240554884e-14;0;0;52,6372072470172;1886,06656837131;"CENPE;TPX2;CCNB1;PRC1;NUF2;STMN1;BIRC5;KIF23;AURKB;NDC80;AURKA;SPC25";"control";8
"73";"microtubule cytoskeleton organization involved in mitosis (GO:1902850)";"10/44";2,45380866430106e-15;4,88307924195911e-13;0;0;77,9647058823529;2622,8211974272;"CENPE;CCNB1;NUF2;STMN1;NUSAP1;TACC3;AURKB;NDC80;AURKA;SPC25";"control";8
"74";"mitotic cell cycle phase transition (GO:0044772)";"15/221";2,51835732784107e-14;3,75864831180279e-12;0;0;20,50173370319;641,962268300542;"MCM7;UBE2C;PLK1;CDC25C;TUBB4B;AURKA;CCNA2;CCNB2;CCNB1;MELK;CDK1;TACC3;MCM5;MCM2;CDKN3";"control";8
"75";"cytoskeleton-dependent cytokinesis (GO:0061640)";"10/70";3,58996590564286e-13;4,28641929133757e-11;0;0;44,1222222222222;1264,34272858233;"ANLN;RACGAP1;STMN1;PLK1;NUSAP1;KIF23;KIF20A;CENPA;CEP55;AURKB";"control";8
"76";"regulation of mitotic cell cycle phase transition (GO:1901990)";"13/184";9,15024363424302e-13;9,10449241607181e-11;0;0;20,8473034437947;577,88361784572;"UBE2C;PLK1;HMMR;TUBB4B;AURKA;CDC20;ANLN;CENPE;TPX2;CCNB1;CENPF;CDK1;MAD2L1";"control";8
"77";"mitotic cytokinesis (GO:0000281)";"9/59";3,09374394702151e-12;2,63852162338834e-10;0;0;47,0486842105263;1246,86725025881;"ANLN;RACGAP1;STMN1;PLK1;NUSAP1;KIF23;KIF20A;CENPA;CEP55";"control";8
"78";"kinetochore organization (GO:0051383)";"6/12";4,45658063395759e-12;3,32572329809085e-10;0;0;252,012658227848;6586,76395165704;"CENPE;CENPF;CENPW;NUF2;CENPA;NDC80";"control";8
"79";"regulation of mitotic cell cycle (GO:0007346)";"12/165";5,18986895396743e-12;3,4426130727984e-10;0;0;21,2323395111469;551,707748547477;"TPX2;CCNB1;PSRC1;PLK1;CKS2;CDK1;TACC3;BIRC5;MKI67;CDC25C;CKS1B;MAD2L1";"control";8
"80";"mitotic metaphase plate congression (GO:0007080)";"8/43";9,75852142652054e-12;5,82583729163276e-10;0;0;59,012987012987;1496,14919117436;"CENPE;CCNB1;PSRC1;NUF2;CDCA8;KIF2C;KIF22;NDC80";"control";8
"81";"negative regulation of programmed cell death (GO:0043069)";"12/408";4,92197478561414e-06;0,00180047846643977;0;0;5,62395382395382;68,7348429443435;"BMP4;DAB2;CCND2;KRT18;TIE1;FHL2;HSPB1;MIF;ANGPTL4;UBA52;THBS1;FGFR1";"control";9
"82";"regulation of apoptotic process (GO:0042981)";"17/815";5,2229617597084e-06;0,00180047846643977;0;0;4,06572681704261;49,4491825786574;"DUSP1;GDF15;TIE1;FHL2;HSPB1;MIF;CLU;THBS1;PYCARD;BMP4;DAB2;CCND2;LGALS1;KRT18;ANGPTL4;UBA52;FGFR1";"control";9
"83";"negative regulation of apoptotic process (GO:0043066)";"13/485";5,33212981775866e-06;0,00180047846643977;0;0;5,140625;62,4162340182831;"GPX1;TIE1;FHL2;HSPB1;MIF;THBS1;BMP4;DAB2;CCND2;KRT18;ANGPTL4;UBA52;FGFR1";"control";9
"84";"neutrophil mediated immunity (GO:0002446)";"13/487";5,57423673820364e-06;0,00180047846643977;0;0;5,11840717299578;61,9191894146591;"CTSA;VAT1;GRN;ACE;GSN;MME;GMFG;MIF;PYCARD;CNN2;LGALS3;FTH1;PSAP";"control";9
